"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","911","Создание заказа: указаны оба цвета BLACK и GREY","tests","2026-09-19","passed","2026-09-19","TestOrderCreation","test_order_creation","",""
"","60508","Негативный сценарий: отсутствует поле 'password' — ожидается ошибка 400","tests","2026-09-19","failed","2026-09-19","TestCourierLogin","test_courier_login","",""
"","446","Негативный сценарий: запрос без логина возвращает ошибку 400","tests","2026-09-19","passed","2026-09-19","TestCourierLogin","test_courier_login","",""
"","1021","Создание заказа: цвет не указан вообще","tests","2026-09-19","passed","2026-09-19","TestOrderCreation","test_order_creation","",""
"если создать пользователя с логином, который уже есть — возвращается ошибка.","1922","Негативный сценарий: попытка создания курьера с существующим логином возвращает ошибку","tests","2026-09-19","passed","2026-09-19","TestCourierCreation","test_courier","",""
"","1252","Фильтрация по nearestStation: фильтр по станциям 1 и 2","tests","2026-09-19","passed","2026-09-19","TestOrdersList","test_orders_list","",""
"","15469","Пагинация: limit и page","tests","2026-09-19","passed","2026-09-19","TestOrdersList","test_orders_list","",""
"","1949","Позитивный сценарий: успешный логин возвращает id курьера (200)","tests","2026-09-19","passed","2026-09-19","TestCourierLogin","test_courier_login","",""
"если одного из полей нет, запрос возвращает ошибку 400.","573","Негативный сценарий: отсутствует поле 'firstName' — ожидается ошибка 400","tests","2026-09-19","failed","2026-09-19","TestCourierCreation","test_courier","",""
"успешный запрос возвращает {""ok"": true}.","1620","Позитивный сценарий: успешный запрос возвращает {""ok"": true}","tests","2026-09-19","passed","2026-09-19","TestCourierCreation","test_courier","",""
"","473","Негативный сценарий: логин несуществующего пользователя возвращает ошибку 404","tests","2026-09-19","passed","2026-09-19","TestCourierLogin","test_courier_login","",""
"","697","Фильтрация по nearestStation: несуществующая станция — список может быть пустым, но статус 200","tests","2026-09-19","passed","2026-09-19","TestOrdersList","test_orders_list","",""
"","60544","Негативный сценарий: запрос без пароля возвращает ошибку 400","tests","2026-09-19","failed","2026-09-19","TestCourierLogin","test_courier_login","",""
"нельзя создать двух одинаковых курьеров.","2028","Негативный сценарий: нельзя создать двух курьеров с одинаковыми данными","tests","2026-09-19","passed","2026-09-19","TestCourierCreation","test_courier","",""
"","2010","Негативный сценарий: неверный пароль возвращает ошибку 404","tests","2026-09-19","passed","2026-09-19","TestCourierLogin","test_courier_login","",""
"","474","Фильтрация по courierId: несуществующий курьер — ожидается 404","tests","2026-09-19","passed","2026-09-19","TestOrdersList","test_orders_list","",""
"если одного из полей нет, запрос возвращает ошибку 400.","476","Негативный сценарий: отсутствует поле 'login' — ожидается ошибка 400","tests","2026-09-19","passed","2026-09-19","TestCourierCreation","test_courier","",""
"","560","Негативный сценарий: отсутствует поле 'login' — ожидается ошибка 400","tests","2026-09-19","passed","2026-09-19","TestCourierLogin","test_courier_login","",""
"","17244","Базовый сценарий: получение списка заказов без фильтров (200 + orders array)","tests","2026-09-19","passed","2026-09-19","TestOrdersList","test_orders_list","",""
"курьера можно создать; запрос возвращает правильный код ответа (201).","1625","Позитивный сценарий: создание курьера возвращает статус 201","tests","2026-09-19","passed","2026-09-19","TestCourierCreation","test_courier","",""
"","464","Фильтрация по courierId: заказы курьера с id=1","tests","2026-09-19","failed","2026-09-19","TestOrdersList","test_orders_list","",""
"","944","Создание заказа: указан только цвет GREY","tests","2026-09-19","passed","2026-09-19","TestOrderCreation","test_order_creation","",""
"","966","Создание заказа: указан только цвет BLACK","tests","2026-09-19","passed","2026-09-19","TestOrderCreation","test_order_creation","",""
"если одного из полей нет, запрос возвращает ошибку 400.","548","Негативный сценарий: отсутствует поле 'password' — ожидается ошибка 400","tests","2026-09-19","passed","2026-09-19","TestCourierCreation","test_courier","",""
